INE_ID,Concelho,Inscritos,Votantes,Brancos,Nulos,Votos,Sigla,Mandatos,Abstention (%),year
101,ÁGUEDA,41809.0,25435.0,619.0,372.0,1432,CDS-PP,0,39.1638164032,2005
101,ÁGUEDA,41809.0,25435.0,619.0,372.0,11373,PS,4,39.1638164032,2005
101,ÁGUEDA,41809.0,25435.0,619.0,372.0,835,PCP-PEV,0,39.1638164032,2005
101,ÁGUEDA,41809.0,25435.0,619.0,372.0,551,B.E.,0,39.1638164032,2005
101,ÁGUEDA,41809.0,25435.0,619.0,372.0,10253,PPD/PSD,3,39.1638164032,2005
102,ALBERGARIA-A-VELHA,20162.0,13197.0,199.0,149.0,7633,PPD/PSD,4,34.5451840095,2005
102,ALBERGARIA-A-VELHA,20162.0,13197.0,199.0,149.0,1600,PS,1,34.5451840095,2005
102,ALBERGARIA-A-VELHA,20162.0,13197.0,199.0,149.0,283,PCP-PEV,0,34.5451840095,2005
102,ALBERGARIA-A-VELHA,20162.0,13197.0,199.0,149.0,3087,CDS-PP,2,34.5451840095,2005
102,ALBERGARIA-A-VELHA,20162.0,13197.0,199.0,149.0,246,B.E.,0,34.5451840095,2005
103,ANADIA,27043.0,16086.0,571.0,250.0,712,CDS-PP,0,40.5169544799,2005
103,ANADIA,27043.0,16086.0,571.0,250.0,641,PCP-PEV,0,40.5169544799,2005
103,ANADIA,27043.0,16086.0,571.0,250.0,9867,PPD/PSD,5,40.5169544799,2005
103,ANADIA,27043.0,16086.0,571.0,250.0,4045,PS,2,40.5169544799,2005
104,AROUCA,20571.0,15000.0,232.0,194.0,3426,VII,2,27.0818142045,2005
104,AROUCA,20571.0,15000.0,232.0,194.0,5283,PS,3,27.0818142045,2005
104,AROUCA,20571.0,15000.0,232.0,194.0,4916,PPD/PSD.CDS-PP.PPM,2,27.0818142045,2005
104,AROUCA,20571.0,15000.0,232.0,194.0,949,PCP-PEV,0,27.0818142045,2005
105,AVEIRO,61770.0,34490.0,823.0,441.0,13782,PS,4,44.1638335762,2005
105,AVEIRO,61770.0,34490.0,823.0,441.0,16667,PPD/PSD.CDS-PP,5,44.1638335762,2005
105,AVEIRO,61770.0,34490.0,823.0,441.0,1544,PCP-PEV,0,44.1638335762,2005
105,AVEIRO,61770.0,34490.0,823.0,441.0,1233,B.E.,0,44.1638335762,2005
106,CASTELO DE PAIVA,14306.0,11198.0,113.0,98.0,198,B.E.,0,21.7251502866,2005
