INE_ID,Concelho,Inscritos,Votantes,Brancos,Nulos,Votos,Sigla,Mandatos,Abstention (%),year
112,MURTOSA,9842.0,5133.0,83.0,63.0,3403,PPD/PSD,4.0,47.845966267,2009
112,MURTOSA,9842.0,5133.0,83.0,63.0,1389,PS,1.0,47.845966267,2009
112,MURTOSA,9842.0,5133.0,83.0,63.0,112,CDS-PP,0.0,47.845966267,2009
113,OLIVEIRA DE AZEMÉIS,60943.0,39232.0,700.0,463.0,15908,PS,4.0,35.6250922994,2009
113,OLIVEIRA DE AZEMÉIS,60943.0,39232.0,700.0,463.0,935,B.E.,0.0,35.6250922994,2009
113,OLIVEIRA DE AZEMÉIS,60943.0,39232.0,700.0,463.0,2934,CDS-PP,0.0,35.6250922994,2009
113,OLIVEIRA DE AZEMÉIS,60943.0,39232.0,700.0,463.0,703,PCP-PEV,0.0,35.6250922994,2009
113,OLIVEIRA DE AZEMÉIS,60943.0,39232.0,700.0,463.0,17589,PPD/PSD,5.0,35.6250922994,2009
114,OLIVEIRA DO BAIRRO,20023.0,11616.0,179.0,166.0,3659,CDS-PP,2.0,41.9867152774,2009
114,OLIVEIRA DO BAIRRO,20023.0,11616.0,179.0,166.0,142,PCP-PEV,0.0,41.9867152774,2009
114,OLIVEIRA DO BAIRRO,20023.0,11616.0,179.0,166.0,6223,PPD/PSD,4.0,41.9867152774,2009
114,OLIVEIRA DO BAIRRO,20023.0,11616.0,179.0,166.0,1247,PS,1.0,41.9867152774,2009
115,OVAR,48055.0,28252.0,605.0,368.0,1373,PCP-PEV,0.0,41.2090313183,2009
115,OVAR,48055.0,28252.0,605.0,368.0,13837,PS,4.0,41.2090313183,2009
115,OVAR,48055.0,28252.0,605.0,368.0,2657,B.E.,0.0,41.2090313183,2009
115,OVAR,48055.0,28252.0,605.0,368.0,9412,PPD/PSD.CDS-PP,3.0,41.2090313183,2009
116,SÃO JOÃO DA MADEIRA,19981.0,11658.0,144.0,99.0,310,B.E.,0.0,41.6545718433,2009
116,SÃO JOÃO DA MADEIRA,19981.0,11658.0,144.0,99.0,833,CDS-PP,0.0,41.6545718433,2009
116,SÃO JOÃO DA MADEIRA,19981.0,11658.0,144.0,99.0,673,PCP-PEV,0.0,41.6545718433,2009
116,SÃO JOÃO DA MADEIRA,19981.0,11658.0,144.0,99.0,6521,PPD/PSD,5.0,41.6545718433,2009
116,SÃO JOÃO DA MADEIRA,19981.0,11658.0,144.0,99.0,3078,PS,2.0,41.6545718433,2009
117,SEVER DO VOUGA,12154.0,8456.0,120.0,93.0,1705,PPD/PSD,1.0,30.4261971367,2009
117,SEVER DO VOUGA,12154.0,8456.0,120.0,93.0,2170,ISLV,2.0,30.4261971367,2009
117,SEVER DO VOUGA,12154.0,8456.0,120.0,93.0,115,PCP-PEV,0.0,30.4261971367,2009
117,SEVER DO VOUGA,12154.0,8456.0,120.0,93.0,314,CDS-PP,0.0,30.4261971367,2009
117,SEVER DO VOUGA,12154.0,8456.0,120.0,93.0,3939,PS,4.0,30.4261971367,2009
118,VAGOS,21257.0,12188.0,202.0,205.0,3777,vp,2.0,42.6635931693,2009
118,VAGOS,21257.0,12188.0,202.0,205.0,7729,PPD/PSD,5.0,42.6635931693,2009
118,VAGOS,21257.0,12188.0,202.0,205.0,275,PCP-PEV,0.0,42.6635931693,2009
119,VALE DE CAMBRA,22674.0,15034.0,250.0,245.0,329,PCP-PEV,0.0,33.6949810355,2009
119,VALE DE CAMBRA,22674.0,15034.0,250.0,245.0,5652,CDS-PP,3.0,33.6949810355,2009
119,VALE DE CAMBRA,22674.0,15034.0,250.0,245.0,1617,PS,0.0,33.6949810355,2009
119,VALE DE CAMBRA,22674.0,15034.0,250.0,245.0,6941,PPD/PSD,4.0,33.6949810355,2009
201,ALJUSTREL,9179.0,6367.0,86.0,48.0,130,PPD/PSD.CDS-PP,0.0,30.6351454407,2009
201,ALJUSTREL,9179.0,6367.0,86.0,48.0,3125,PS,3.0,30.6351454407,2009
201,ALJUSTREL,9179.0,6367.0,86.0,48.0,2978,PCP-PEV,2.0,30.6351454407,2009
202,ALMODÔVAR,7422.0,5135.0,90.0,96.0,108,B.E.,0.0,30.8137968203,2009
202,ALMODÔVAR,7422.0,5135.0,90.0,96.0,244,PCP-PEV,0.0,30.8137968203,2009
202,ALMODÔVAR,7422.0,5135.0,90.0,96.0,2890,PPD/PSD,3.0,30.8137968203,2009
202,ALMODÔVAR,7422.0,5135.0,90.0,96.0,1707,PS,2.0,30.8137968203,2009
203,ALVITO,2120.0,1610.0,28.0,19.0,532,PS,2.0,24.0566037736,2009
203,ALVITO,2120.0,1610.0,28.0,19.0,564,PCP-PEV,2.0,24.0566037736,2009
203,ALVITO,2120.0,1610.0,28.0,19.0,467,PPD/PSD.CDS-PP.PPM,1.0,24.0566037736,2009
204,BARRANCOS,1565.0,1218.0,32.0,25.0,22,CDS-PP,0.0,22.1725239617,2009
204,BARRANCOS,1565.0,1218.0,32.0,25.0,725,PCP-PEV,3.0,22.1725239617,2009
204,BARRANCOS,1565.0,1218.0,32.0,25.0,414,PS,2.0,22.1725239617,2009
205,BEJA,30920.0,18761.0,214.0,167.0,549,B.E.,0.0,39.3240620957,2009
205,BEJA,30920.0,18761.0,214.0,167.0,935,PPD/PSD,0.0,39.3240620957,2009
205,BEJA,30920.0,18761.0,214.0,167.0,298,CDS-PP,0.0,39.3240620957,2009
205,BEJA,30920.0,18761.0,214.0,167.0,8579,PS,4.0,39.3240620957,2009
205,BEJA,30920.0,18761.0,214.0,167.0,7815,PCP-PEV,3.0,39.3240620957,2009
205,BEJA,30920.0,18761.0,214.0,167.0,204,F.A.I,0.0,39.3240620957,2009
206,CASTRO VERDE,6625.0,4247.0,58.0,39.0,2335,PCP-PEV,3.0,35.8943396226,2009
206,CASTRO VERDE,6625.0,4247.0,58.0,39.0,1622,PS,2.0,35.8943396226,2009
206,CASTRO VERDE,6625.0,4247.0,58.0,39.0,193,PPD/PSD.CDS-PP,0.0,35.8943396226,2009
207,CUBA,4164.0,3357.0,37.0,31.0,122,PPD/PSD,0.0,19.3804034582,2009
207,CUBA,4164.0,3357.0,37.0,31.0,1615,PS,3.0,19.3804034582,2009
207,CUBA,4164.0,3357.0,37.0,31.0,1552,PCP-PEV,2.0,19.3804034582,2009
208,FERREIRA DO ALENTEJO,7798.0,5116.0,78.0,56.0,2860,PS,3.0,34.3934342139,2009
208,FERREIRA DO ALENTEJO,7798.0,5116.0,78.0,56.0,1870,PCP-PEV,2.0,34.3934342139,2009
208,FERREIRA DO ALENTEJO,7798.0,5116.0,78.0,56.0,83,MPT,0.0,34.3934342139,2009
208,FERREIRA DO ALENTEJO,7798.0,5116.0,78.0,56.0,169,PPD/PSD,0.0,34.3934342139,2009
209,MÉRTOLA,7477.0,5720.0,95.0,93.0,55,PPD/PSD,0.0,23.4987294369,2009
209,MÉRTOLA,7477.0,5720.0,95.0,93.0,2456,PCP-PEV,2.0,23.4987294369,2009
209,MÉRTOLA,7477.0,5720.0,95.0,93.0,370,MIM,0.0,23.4987294369,2009
209,MÉRTOLA,7477.0,5720.0,95.0,93.0,2651,PS,3.0,23.4987294369,2009
210,MOURA,14188.0,7797.0,195.0,63.0,2897,PS,3.0,45.0451085424,2009
210,MOURA,14188.0,7797.0,195.0,63.0,164,CDS-PP,0.0,45.0451085424,2009
210,MOURA,14188.0,7797.0,195.0,63.0,619,PPD/PSD,0.0,45.0451085424,2009
210,MOURA,14188.0,7797.0,195.0,63.0,3859,PCP-PEV,4.0,45.0451085424,2009
211,ODEMIRA,22203.0,14696.0,313.0,271.0,6842,PS,4.0,33.8107462955,2009
211,ODEMIRA,22203.0,14696.0,313.0,271.0,5056,PCP-PEV,3.0,33.8107462955,2009
211,ODEMIRA,22203.0,14696.0,313.0,271.0,632,B.E.,0.0,33.8107462955,2009
211,ODEMIRA,22203.0,14696.0,313.0,271.0,1582,PPD/PSD.CDS-PP,0.0,33.8107462955,2009
212,OURIQUE,5190.0,4209.0,51.0,99.0,2806,PS,4.0,18.901734104,2009
212,OURIQUE,5190.0,4209.0,51.0,99.0,1091,PPD/PSD,1.0,18.901734104,2009
212,OURIQUE,5190.0,4209.0,51.0,99.0,162,PCP-PEV,0.0,18.901734104,2009
213,SERPA,14441.0,8257.0,175.0,107.0,112,CDS-PP,0.0,42.8225192161,2009
213,SERPA,14441.0,8257.0,175.0,107.0,287,B.E.,0.0,42.8225192161,2009
213,SERPA,14441.0,8257.0,175.0,107.0,708,PPD/PSD,0.0,42.8225192161,2009
213,SERPA,14441.0,8257.0,175.0,107.0,2582,PS,3.0,42.8225192161,2009
213,SERPA,14441.0,8257.0,175.0,107.0,4286,PCP-PEV,4.0,42.8225192161,2009
214,VIDIGUEIRA,5332.0,3596.0,61.0,55.0,46,B.E.,0.0,32.5581395349,2009
214,VIDIGUEIRA,5332.0,3596.0,61.0,55.0,1986,PCP-PEV,3.0,32.5581395349,2009
214,VIDIGUEIRA,5332.0,3596.0,61.0,55.0,45,CDS-PP,0.0,32.5581395349,2009
