INE_ID,Order,Party
4204,1,PPD/PSD
4204,2,PS
4205,1,PPD/PSD
4205,2,PS
4205,3,B.E.
4205,4,PCP-PEV
4206,1,PCP-PEV
4206,2,PS
4206,3,NR
4206,4,PPD/PSD.PPM
4301,1,PCP-PEV
4301,2,PPD/PSD.CDS-PP
4301,3,PS
4301,4,B.E.
4302,1,CDS-PP
4302,2,B.E.
4302,3,PPD/PSD
4302,4,PS
4302,5,PCP-PEV
4401,1,PPD/PSD
4401,2,PS
4401,3,NE
4501,1,PS
4501,2,PPD/PSD
4501,3,CCALHETA
4502,1,CDS-PP
4502,2,PS
4502,3,PPD/PSD
4601,1,PPD/PSD
4601,2,PS
4601,3,CDS-PP
4602,1,PCP-PEV
4602,2,PPD/PSD
4602,3,CDS-PP
4602,4,PS
4603,1,PPD/PSD
4603,2,PS
4603,3,CDS-PP
4701,1,PS
4701,2,B.E.
4701,3,PCP-PEV
4701,4,PPD/PSD.CDS-PP
4801,1,PPD/PSD
4801,2,PS
4802,1,PPD/PSD.CDS-PP
4802,2,PS
4901,1,PPD/PSD
4901,2,PS
