INE_ID,name,party
207,Ana Raquel Ganhão das Dores Soudo,PS
208,João Luis Ferro do Rosário Fragoso,PCP-PEV
208,Jorge Ângelo Ramos dos Santos,PPD/PSD.CDS-PP
208,Aníbal Sousa Reis Coelho de Costa,PS
209,Miguel da Conceição Bento,PCP-PEV
209,Herlander Miguel Gonçalves Madeira Mira,PPD/PSD.CDS-PP
209,Jorge Paulo Colaço Rosa,PS
209,Alberto Manuel Raposo Fernandes,XI
210,Santiago Augusto Ferreira Macias,PCP-PEV
210,Carlos Augusto Garcias Valente,PPD/PSD.CDS-PP
210,Francisco Manuel Canudo Sena,PS
211,Ana Maria de Miranda Nazaré Loureiro,B.E.
211,Manuel da Silva Cruz,PCP-PEV
211,José Francisco de Sousa Prado dos Santos Silva,PPD/PSD.CDS-PP
211,José Alberto Candeias Guerreiro,PS
212,António Francisco Colaço,PCP-PEV
212,Sérgio Manuel Borges Dinis Marques Marçal,PPD/PSD.CDS-PP
212,Pedro Nuno Raposo Prazeres do Carmo,PS
213,Guida Maria de Jesus Ascensão,B.E.
213,Tomé Alexandre Martins Pires,PCP-PEV
213,José António Aboim Madeira,PPD/PSD
213,Noel Ricardo Esteves Farinho,PS
214,Manuel Luís da Rosa Narra,PCP-PEV
214,José Manuel Cruz Maldonado,PPD/PSD.CDS-PP
214,José Miguel Pires D'Almeida,PS
301,Sara Raquel Marques Ribeiro Leite do Vale,I
301,Luís Manuel Cerqueira Gomes Gonçalves,PCP-PEV
301,Isidro Gomes de Araújo,PPD/PSD.CDS-PP
301,Manuel da Rocha Moreira,PS
302,José Maria Barbosa Cardoso,B.E.
302,Mário Jorge Gomes de Figueiredo,PCP-PEV
302,Mário Rui Correia Senra,PCTP/MRPP
302,Domingos José da Silva Araújo,PPD/PSD.CDS-PP.PPM
302,Miguel Jorge da Costa Gomes,PS
302,Manuel Carlos da Costa Marinho,VI
303,Alberto Carlos Carvalho de Almeida,PCP-PEV
303,Luís Filipe Barata e Lima,PCTP/MRPP
303,Ricardo Bruno Antunes Machado Rio,PPD/PSD.CDS-PP.PPM
303,Vítor Manuel Amaral de Sousa,PS
303,Inês Beatriz Barbosa de Carvalho,V
304,Manuel da Silva Nogueira,PCP-PEV
304,Mário António Jesus Leite,PPD/PSD.CDS-PP
304,Serafim China Pereira,PS
304,Jorge Agostinho Borges Machado,XIII
305,Luis Manuel Dá Mesquita Castro Leal,CDS-PP
305,Luis Heitor da Silva Pires Marinho,PCP-PEV
305,Joaquim Monteiro da Mota e Silva,PPD/PSD
305,António Joaquim Gonçalves Bastos,PS
306,Berta Filipa Gonçalves Viana,CDS-PP
306,Manuel Fernando Loureiro de Almeida,PCP-PEV
306,António Benjamim da Costa Pereira,PPD/PSD
306,João Maria de Sousa Nunes da Silva,PS
307,Deolinda Manuela de Sá Nogueira,CDS-PP
307,Maria Leonor Pereira Oliveira Castro,PCP-PEV
307,Eugénio Fernando de Sá Cerqueira Marinho,PPD/PSD
307,Raul Jorge Fernandes da Cunha,PS
307,Parcidio Cabral de Almeida Summavielle,XVII
308,José Carlos Sampaio Fonseca,B.E.
308,José Manuel Torcato Ribeiro,PCP-PEV
308,João Manuel Valente Pinto,PCTP/MRPP
308,André Guimarães Coelho Lima,PPD/PSD.CDS-PP.MPT
308,Luís Filipe Botelho Ribeiro,PPM-PPV
308,Domingos Bragança Salgado,PS
309,Deolinda Maria Marques Queirós Pereira Ferreira,CDS-PP
309,Paulo Jorge Lopes da Silva,PCP-PEV
309,Manuel José Torcato Soares Baptista,PPD/PSD
309,Frederico de Oliveira Castro,PS
310,Paulo Alexandre Vieira e Sousa,MPT
310,António José Salgado Almeida,PCP-PEV
310,António José Ferreira Afonso,PPD/PSD.CDS-PP
310,Joaquim José Cracel Viana,PS
310,Luís Filipe Rodrigues Pires,VI
311,João Manuel Machado Oliveira,B.E.
311,José Luis Ribeiro Pereira,PCP-PEV
311,António Cardoso Barbosa,PPD/PSD.CDS-PP
311,Jorge Augusto Mangas Abreu Dantas,PS
312,José Luís da Silva Araújo,B.E.
312,José Miguel da Silva Lopes,PCP-PEV
312,Paulo Alexandre Matos Cunha,PPD/PSD.CDS-PP
312,Custódio Marques de Oliveira,PS
313,Daniel Cerqueira Oliveira,CDS-PP
313,Manuel Ferreira Carvalho,PCP-PEV
313,António Fernando Nogueira Cerqueira Vilela,PPD/PSD
313,Luís Filipe Oliveira da Silva,PS
314,Ana Bárbara Martins Pedrosa,B.E.
314,António Joaquim Pereira Veiga,PCP-PEV
314,Luis Miguel Soares Lopes Guimarães,PPD/PSD.CDS-PP
314,Dinis Manuel da Silva Costa,PS
401,Teresa do Carmo Bráz Rodrigues,PCP-PEV
401,Artur António Rabaçal Aragão,PPD/PSD.CDS-PP
401,Berta Ferreira Milheiro Nunes,PS
402,Gil Augusto Gonçalves,B.E.
402,Telmo Alexandre de Alge Cadavez,CDS-PP
402,José Manuel Correia dos Santos Ferreira de Castro,PCP-PEV
402,Hernâni Dinis Venâncio Dias,PPD/PSD
402,Júlio Meirinhos Santanas,PS
402,Humberto Francisco da Rocha,XIII
403,Fernando António Trindade dos Reis,CDS-PP
403,José Maria de Sousa Araújo,PCP-PEV
403,José Luís Correia,PPD/PSD
403,João Manuel Sampaio,PS
404,Nicolau de Jesús Manso,PCP-PEV
404,Maria do Céu Quintas,PPD/PSD
404,José Manuel Caldeira Santos,PS
405,Rui Jorge da Silva Costa,CDS-PP
405,Carlos Manuel Cunha Martins,PCP-PEV
405,Manuel Duarte Fernandes Moreno,PPD/PSD
405,Rui Manuel Rodrigues Vaz,PS
406,Júlio Augusto Pires Afonso,B.E.
406,Eduardo Luís Tiago de Beça Sanches da Gama,CDS-PP.MPT.PPM
406,Maria da Glória Gonçalves de Jesus,PCP-PEV
406,Francisco António São Pedro Granjo,PPD/PSD
406,Artur Manuel Rodrigues Nunes,PS
407,Fernando Manuel Bebiano,B.E.
407,Carlos Manuel Costa Pires,CDS-PP
407,Maria Eduarda Teixeira Neves Carvalho,PCP-PEV
407,António José Pires Almor Branco,PPD/PSD
407,José Manuel Correia de Morais,PS
408,Maria de Lurdes Gonçalves Marinho de Sousa,CDS-PP
408,Amândio Edmundo Carvalho Pereira,PCP-PEV
408,António Joaquim Pimentel,PPD/PSD
408,Francisco José Mateus Albuquerque Guimarães,PS
409,Carlos Octávio Varelas,PCP-PEV
409,Nuno Jorge Rodrigues Gonçalves,PPD/PSD.CDS-PP
409,José Manuel Aires,PS
410,Ana Margarida Gonçalves Correia,PCP-PEV
410,Fernando Filipe de Almeida,PPD/PSD.CDS-PP
410,Fernando Francisco Teixeira de Barros,PS
411,Luís Miguel Vaz Oliveira,PCP-PEV
411,António Jorge Fidalgo Martins,PPD/PSD
411,Amilcar Gonçalves Martins,PS
412,Duarte Manuel Diz Lopes,CDS-PP.PPD/PSD
412,Elisabete Augusta Jorge Pereirinha Rodrigues,PCP-PEV
412,Américo Jaime Afonso Pereira,PS
501,João Manuel Soares Gonçalves,CDS-PP
501,Jorge Manuel dos Santos Amaro,I
501,Marco Manuel Matos Melchior,PCP-PEV
501,António Dias Rocha,PS
502,Filipe Manuel da Silva Lourenço,B.E.
502,Ana Isabel Gardete Correia Camilo Martins,CDS-PP
502,João Pedro Martins Delgado,PCP-PEV
502,Paulo Alexandre Martins Moradias,PPD/PSD
502,Luís Manuel dos Santos Correia,PS
503,José Serra dos Reis,B.E.
503,Pedro Miguel dos Santos Farromba,I
503,José Joaquim Pinto de Almeida,PCP-PEV
503,Joaquim António Matias,PPD/PSD
503,Vitor Manuel Pinheiro Pereira,PS
504,Arminda Fortes Santos de Carvalho Tavares,CDS-PP
504,José Luís Cabaço Reis Oliveira,PCP-PEV
504,Paulo Alexandre Bernardo Fernandes,PPD/PSD
504,José António Duarte Domingues,PS
504,António de José de Jesus Pombo,PTP
505,Luís Filipe Geraldes de Mascarenhas Esteves de Sousa,CDS-PP
505,Jorge Miguel Gregório Azinheiro,I
505,João Fazendas,PCP-PEV
505,António Jorge da Cruz Moreira,PPD/PSD
505,Armindo Moreira da Palma Jacinto,PS
506,António Jorge Mendes Dias,JPP
506,António Trindade dos Santos,PCP-PEV
506,Fernando Marques Jorge,PPD/PSD
507,António das Neves Bento,CDS-PP
507,Ana Paula Cunha Martins Pinto Pires,PCP-PEV
507,Vitor Manuel de Sousa Gabriel,PPD/PSD.MPT
507,António Luís Beites Soares,PS
508,Francisco Ribeiro Delgado,PCP-PEV
508,Jorge Manuel Nogueira Tomé,PPD/PSD
508,João Paulo Lopes Catarino,PS
509,Sara Rita de Oliveira Guerra Pedro de Matos Freitas do Amaral,CDS-PP
509,Luís da Conceição Rodrigues,I
509,Ema Pereira Gomes,PCP-PEV
509,José Farinha Nunes,PPD/PSD
509,Vítor Manuel do Carmo Cavalheiro,PS
510,Carlos António Moutoso Batata,CDS-PP
510,Carlos Manuel Rosa de Almeida,PCP-PEV
510,Ricardo Jorge Martins Aires,PPD/PSD
510,Ana Sofia Rodrigues Pires,PS
511,Gonçalo Rodolfo de Canavarro Arraya Mendes Paulo,CDS-PP
511,António José Ferro Inácio,PCP-PEV
511,Natália Lopes Ramos,PPD/PSD
511,Luís Miguel Ferro Pereira,PS
601,José Tiago Almeida,PCP-PEV
601,Ricardo João Barata Pereira Alves,PPD/PSD
601,Eduardo Miguel Duarte Ventura,PS
602,Maria Olímpia Moreira da Cruz,CDS-PP
602,Maria Teresa de Jesus,PCP-PEV
602,João Carlos Vidaurre Pais de Moura,PPD/PSD
602,Carlos Alberto Castelo-Branco Ordens,PS
603,Luis Nuno Ranito da Costa Providência,CDS-PP
603,José Augusto Moreira Ferreira da Silva,IV
603,Jorge Francisco Alves Vicente de Sousa Guerreiro,PAN
603,Francisco José Pina Queirós,PCP-PEV
603,Rui Lourenço da Cruz,PCTP/MRPP
603,João Paulo Lima Barbosa de Melo,PPD/PSD.PPM.MPT
603,Manuel Augusto Soares Machado,PS
604,Gisela Andreia Ferreira Coelho Martins,B.E.
604,Nuno Filipe Queirós Vicente,CDS-PP
604,António Moreira da Costa Albuquerque,PCP-PEV
604,Joaquim Norberto Cardoso Pires da Silva,PPD/PSD
604,Nuno Miguel Martins Rondão Moita da Costa,PS
605,Jorge Silvério Gomes Martins Monteiro,B.E.
605,António Francisco Gonçalves Soares Baião,PCP-PEV
605,João Manuel da Paz Cardoso,PCTP/MRPP
