Dicofr,Ref_municipio_ine,Distrito,Concelho,Freguesia,Orgao,Inscritos,Votantes,Validos,Brancos,Nulos,Votos,Sigla,M
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,9512,B.E.,NULL
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,36979,PPD/PSD.CDS-PP,NULL
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,37724,PPD/PSD.CDS-PP,NULL
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,143115,PPD/PSD,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,264,MMS,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,384,MPT,NULL
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,105,PND,NULL
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,12024,PCP-PEV,NULL
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,2170,ISLV,NULL
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,1166,UPA,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,671,MSE,NULL
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,3777,vp,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,497,ipc,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,1257,IP,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,13661,PCP-PEV,NULL
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,3843,vp,NULL
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,888,UPA,NULL
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,134617,PS,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,162,LIFA,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,724,IND,NULL
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,28101,CDS-PP,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,909,LIS,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,1032,LIF,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,320,LIE,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,280,LID,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,320,LICE,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,527,LIAB,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,413,JPP,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,138,ITLV,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,617,ISLV,NULL
10000,NULL,Aveiro,NULL,NULL,CM,NULL,NULL,NULL,NULL,NULL,142154,PS,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,203,LIP,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,140,IDLV,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,571,LIT,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,815,LP,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,644,lupa,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,247,ISELV,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,743,mcijpl,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,151,IRLV,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,674,IPLV,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,678,IPE,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,516,LIM,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,7379,B.E.,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,539,UPA,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,639,PUGA,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,126022,PS,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,239,upn,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,3580,vp,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,554,INFA,NULL
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,136086,PPD/PSD,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,37662,PPD/PSD.CDS-PP,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,141831,PPD/PSD,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,589,PND,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,1824,pf,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,573,ARIG,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,2013,PPD/PSD.CDS-PP.PPM,NULL
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,12823,B.E.,NULL
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,15557,PCP-PEV,NULL
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,794,MEP,NULL
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,1903,ISLV,NULL
10000,NULL,Aveiro,NULL,NULL,AM,NULL,NULL,NULL,NULL,NULL,34632,CDS-PP,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,25437,CDS-PP,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,125,ICLV,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,1182,IC,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,146,cls,NULL
10000,NULL,Aveiro,NULL,NULL,AF,NULL,NULL,NULL,NULL,NULL,349,ci,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AM,43870,26449,NULL,454,253,2199,CDS-PP,2
10100,101,Aveiro,ÁGUEDA,NULL,CM,43870,26744,NULL,454,253,14569,PS,4
10100,101,Aveiro,ÁGUEDA,NULL,CM,43870,26744,NULL,454,253,9133,PPD/PSD,3
10100,101,Aveiro,ÁGUEDA,NULL,CM,43870,26744,NULL,454,253,105,PND,NULL
10100,101,Aveiro,ÁGUEDA,NULL,CM,43870,26744,NULL,454,253,509,PCP-PEV,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,448,B.E.,NULL
10100,101,Aveiro,ÁGUEDA,NULL,CM,43870,26744,NULL,454,253,342,B.E.,NULL
10100,101,Aveiro,ÁGUEDA,NULL,CM,43870,26744,NULL,454,253,1379,CDS-PP,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,9216,PPD/PSD,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,653,PCP-PEV,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,815,LP,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,203,LIP,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,162,LIFA,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,541,LIF,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,320,LIE,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AM,43870,26449,NULL,454,253,12639,PS,11
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,2767,CDS-PP,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AM,43870,26449,NULL,454,253,659,B.E.,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AM,43870,26449,NULL,454,253,772,PCP-PEV,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AM,43870,26449,NULL,454,253,9473,PPD/PSD,8
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,9994,PS,NULL
10100,101,Aveiro,ÁGUEDA,NULL,AF,43870,26353,NULL,454,253,527,LIAB,NULL
10101,101,Aveiro,ÁGUEDA,Agadão,AF,NULL,NULL,NULL,NULL,NULL,208,PPD/PSD,4
10101,101,Aveiro,ÁGUEDA,Agadão,AF,NULL,NULL,NULL,NULL,NULL,138,PS,3
10102,101,Aveiro,ÁGUEDA,Aguada de Baixo,AF,NULL,NULL,NULL,NULL,NULL,364,PS,4
10102,101,Aveiro,ÁGUEDA,Aguada de Baixo,AF,NULL,NULL,NULL,NULL,NULL,527,LIAB,5
10103,101,Aveiro,ÁGUEDA,Aguada de Cima,AF,NULL,NULL,NULL,NULL,NULL,105,CDS-PP,NULL
10103,101,Aveiro,ÁGUEDA,Aguada de Cima,AF,NULL,NULL,NULL,NULL,NULL,996,PPD/PSD,5
10103,101,Aveiro,ÁGUEDA,Aguada de Cima,AF,NULL,NULL,NULL,NULL,NULL,856,PS,4
10104,101,Aveiro,ÁGUEDA,Águeda,AF,NULL,NULL,NULL,NULL,NULL,1495,PPD/PSD,4
10104,101,Aveiro,ÁGUEDA,Águeda,AF,NULL,NULL,NULL,NULL,NULL,136,B.E.,NULL
10104,101,Aveiro,ÁGUEDA,Águeda,AF,NULL,NULL,NULL,NULL,NULL,482,CDS-PP,1
10104,101,Aveiro,ÁGUEDA,Águeda,AF,NULL,NULL,NULL,NULL,NULL,170,PCP-PEV,NULL
10104,101,Aveiro,ÁGUEDA,Águeda,AF,NULL,NULL,NULL,NULL,NULL,162,LIFA,NULL
10104,101,Aveiro,ÁGUEDA,Águeda,AF,NULL,NULL,NULL,NULL,NULL,3039,PS,8
10105,101,Aveiro,ÁGUEDA,Barrô,AF,NULL,NULL,NULL,NULL,NULL,603,PPD/PSD,6
